"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","4,769.80","4,782.90","4,788.40","4,752.00","","-0.28%"
"12/28/2023","4,783.40","4,786.40","4,793.30","4,781.00","","0.04%"
"12/27/2023","4,781.60","4,773.40","4,785.40","4,768.90","","0.14%"
"12/26/2023","4,774.80","4,758.90","4,784.70","4,758.40","","0.42%"
"12/22/2023","4,754.60","4,753.90","4,772.90","4,736.80","","0.16%"
"12/21/2023","4,746.80","4,724.30","4,748.70","4,708.40","","1.03%"
"12/20/2023","4,698.40","4,764.70","4,778.00","4,697.80","","-1.47%"
"12/19/2023","4,768.40","4,743.70","4,768.70","4,743.70","","0.59%"
"12/18/2023","4,740.60","4,725.60","4,749.50","4,725.60","","0.45%"
"12/15/2023","4,719.20","4,714.20","4,725.50","4,704.70","","-0.01%"
"12/14/2023","4,719.60","4,721.00","4,738.60","4,694.30","","0.27%"
"12/13/2023","4,707.10","4,646.20","4,709.70","4,643.20","","1.37%"
"12/12/2023","4,643.70","4,618.30","4,643.90","4,608.10","","0.46%"
"12/11/2023","4,622.40","4,593.40","4,623.70","4,593.40","","0.39%"
"12/08/2023","4,604.40","4,576.20","4,609.20","4,574.10","","0.41%"
"12/07/2023","4,585.60","4,568.80","4,590.90","4,565.20","","0.80%"
"12/06/2023","4,549.30","4,586.20","4,590.70","4,546.50","","-0.39%"
"12/05/2023","4,567.20","4,557.20","4,578.60","4,551.70","","-0.06%"
"12/04/2023","4,569.80","4,564.40","4,572.40","4,546.70","","-0.54%"
"12/01/2023","4,594.60","4,559.40","4,599.40","4,554.70","","0.59%"
"11/30/2023","4,567.80","4,554.90","4,569.90","4,537.20","","0.38%"
"11/29/2023","4,550.60","4,571.80","4,587.60","4,547.10","","-0.09%"
"11/28/2023","4,554.90","4,545.60","4,568.10","4,540.50","","0.10%"
"11/27/2023","4,550.40","4,554.90","4,560.50","4,546.30","","-0.20%"
"11/24/2023","4,559.30","4,555.80","4,560.30","4,552.80","","0.06%"
"11/22/2023","4,556.60","4,553.00","4,568.40","4,545.10","","0.41%"
"11/21/2023","4,538.20","4,538.80","4,542.10","4,525.50","","-0.20%"
"11/20/2023","4,547.40","4,511.70","4,557.10","4,510.40","","0.74%"
"11/17/2023","4,514.00","4,509.60","4,520.10","4,499.70","","0.13%"
"11/16/2023","4,508.20","4,497.10","4,512.00","4,487.80","","0.12%"
"11/15/2023","4,502.90","4,505.30","4,521.20","4,495.30","","0.16%"
"11/14/2023","4,495.70","4,459.00","4,508.70","4,459.00","","1.91%"
"11/13/2023","4,411.60","4,406.70","4,421.80","4,393.80","","-0.08%"
"11/10/2023","4,415.20","4,364.10","4,418.00","4,353.30","","1.56%"
"11/09/2023","4,347.40","4,391.40","4,393.40","4,343.90","","-0.81%"
"11/08/2023","4,382.80","4,384.40","4,391.20","4,359.80","","0.10%"
"11/07/2023","4,378.40","4,366.20","4,386.30","4,355.40","","0.28%"
"11/06/2023","4,366.00","4,364.30","4,372.20","4,347.50","","0.18%"
"11/03/2023","4,358.30","4,334.20","4,373.60","4,334.20","","0.94%"
"11/02/2023","4,317.80","4,268.30","4,319.70","4,268.30","","1.89%"
"11/01/2023","4,237.90","4,201.30","4,245.60","4,197.70","","1.05%"
"10/31/2023","4,193.80","4,171.30","4,195.60","4,153.10","","0.65%"
"10/30/2023","4,166.80","4,139.40","4,177.50","4,132.90","","1.20%"
"10/27/2023","4,117.40","4,152.90","4,156.70","4,103.80","","-0.48%"
"10/26/2023","4,137.20","4,176.00","4,183.60","4,127.90","","-1.18%"
"10/25/2023","4,186.80","4,232.40","4,232.40","4,181.40","","-1.43%"
"10/24/2023","4,247.70","4,235.80","4,259.40","4,219.40","","0.73%"
"10/23/2023","4,217.00","4,210.40","4,255.80","4,189.20","","-0.17%"
"10/20/2023","4,224.20","4,273.90","4,276.60","4,223.00","","-1.26%"
"10/19/2023","4,278.00","4,321.40","4,339.50","4,269.70","","-0.85%"
"10/18/2023","4,314.60","4,357.40","4,364.20","4,303.80","","-1.34%"
"10/17/2023","4,373.20","4,345.20","4,393.60","4,337.50","","-0.01%"
"10/16/2023","4,373.60","4,342.40","4,383.30","4,342.40","","1.06%"
"10/13/2023","4,327.80","4,360.50","4,377.10","4,312.00","","-0.50%"
"10/12/2023","4,349.60","4,380.90","4,385.90","4,325.40","","-0.62%"
"10/11/2023","4,376.90","4,366.60","4,378.60","4,345.30","","0.43%"
"10/10/2023","4,358.20","4,339.80","4,385.50","4,339.60","","0.52%"
"10/09/2023","4,335.70","4,289.00","4,341.70","4,283.80","","0.63%"
"10/06/2023","4,308.50","4,234.80","4,324.10","4,219.60","","1.18%"
"10/05/2023","4,258.20","4,259.30","4,267.10","4,225.90","","-0.13%"
"10/04/2023","4,263.80","4,233.80","4,268.50","4,220.50","","0.81%"
"10/03/2023","4,229.40","4,269.80","4,281.10","4,216.40","","-1.38%"
"10/02/2023","4,288.40","4,284.50","4,300.60","4,260.20","","0.01%"
